Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0134998763466692,0.0988967648724951,0.0244735786313578,0,0,0,0.906387179672496,0.0219338168202344,2.99239799605999E-17,-7.41805477919565E-18,0.0219338168202349,-7.53308387446783E-17,0.0433675810662887,0,0,0,0,0,0,package://urdf_assembly2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_assembly2/meshes/base_link.STL,,Trackfull-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.49335,0.35015,-0.14849,0,0,0,0.70484,0.00091738,-8.2523E-05,-0.00014882,0.00072923,3.1654E-05,0.00098046,0,0,0,0,0,0,package://urdf_assembly2/meshes/link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_assembly2/meshes/link_1.STL,,Mount-1,Origin_joint_12,,joint_1,fixed,-0.46183,0.047213,0.46192,-1.5708,0,0.76172,base_link,0,0,0,,,,,,,,,,,,
link_2,0.089447,-0.16983,-0.035259,0,0,0,0.57902,0.0065109,0.00091045,-0.00021122,0.00056122,0.00090276,0.0065062,0,0,0,0,0,0,package://urdf_assembly2/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_assembly2/meshes/link_2.STL,,Arm 1-1,Origin_joint_22,Axis_joint_22,joint_2,revolute,0.4635,0.27961,-0.12664,0.08735,0.0036426,-0.0833,link_1,0.72365,0,-0.69017,0,0,0,0,,,,,,,,
link_3,0.0015236,-0.16983,0.048597,0,0,0,0.57902,0.0065109,0.00091045,-0.00021122,0.00056122,0.00090276,0.0065062,0,0,0,0,0,0,package://urdf_assembly2/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_assembly2/meshes/link_3.STL,,Arm 1-2,Origin_joint_32,Axis_joint_32,joint_3,revolute,0.043186,-0.2934,0.045281,-2.8411,-0.043608,-2.8554,link_2,0.72365,0,-0.69017,0,0,0,0,,,,,,,,
link_4,-0.0072543,-0.020494,0.11174,0,0,0,0.17249,0.00030529,3.4012E-05,-0.0002374,0.00056091,3.5666E-05,0.00028271,0,0,0,0,0,0,package://urdf_assembly2/meshes/link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_assembly2/meshes/link_4.STL,,wrist-1,Origin_joint_42,Axis_joint_42,joint_4,revolute,0.043186,-0.2934,0.045281,0.84285,0.37072,-0.79235,link_3,0.72365,0,-0.69017,0,0,0,0,,,,,,,,
